sources;"http://www.college-de-pataphysique.org/wa_files/calenpat.pdf";;;;;
;"https://fr.wikipedia.org/wiki/Calendrier_pataphysique";;;;;
ABSOLU;1;dimanche;Nativité d’Alfred Jarry;;8 09;
ABSOLU;2;lundi;St Ptyx, silentiaire (Abolition de);;9 09;
ABSOLU;3;mardi;St Phénix, solipsiste et St Hyx, factotum;;10 09;
ABSOLU;4;mercredi;St Lucien de Samosate, voyageur;;11 09;
ABSOLU;5;jeudi;St Bardamu, voyageur;;12 09;
ABSOLU;6;vendredi;Ste Vérola, assistante sociale;;13 09;
ABSOLU;7;samedi;St Alambic, abstracteur;;14 09;
ABSOLU;8;dimanche;Absinthe, ci-devant St Alfred(*);;15 09;
ABSOLU;9;lundi;Descente du St Esprit (de Vin);;16 09;
ABSOLU;10;mardi;Dilution;;17 09;
ABSOLU;11;mercredi;Ste Purée, sportswoman;;18 09;
ABSOLU;12;jeudi;Vide;;19 09;
ABSOLU;13;vendredi;St Canterel, l’illuminateur;;20 09;
ABSOLU;14;samedi;St Sophrotatos l’Arménien, pataphysicien;;21 09;
ABSOLU;15;dimanche;Éthernité;;22 09;
ABSOLU;16;lundi;St Ibicrate le Géomètre, pataphysicien;;23 09;
ABSOLU;17;mardi;Céphalorgie;;24 09;
ABSOLU;18;mercredi;Flûtes de Pan;;25 09;
ABSOLU;19;jeudi;Stes Grues, ophiophiles;;26 09;
ABSOLU;20;vendredi;Ste Mélusine, souillarde de cuisine;;27 09;
ABSOLU;21;samedi;St Venceslas (*), duc;;28 09;
ABSOLU;22;dimanche;Emmanuel Dieu;;29 09;
ABSOLU;23;lundi;Ste Varia-Miriam, amphibie;;30 09;
ABSOLU;24;mardi;Sts Rakir et Rastrons, porte-côtelettes;;1 10;
ABSOLU;25;mercredi;Nativité de Sa Magnificence Opach;;2 10;
ABSOLU;26;jeudi;St Joseb, notaire à la mode de Bretagne;;3 10;
ABSOLU;27;vendredi;Stes Gigolette et Gaufrette, dogaresses;;4 10;
ABSOLU;28;samedi;Xylostomie;;5 10;
HAHA;1;dimanche;L’âge du Dr Faustroll;;6 10;
HAHA;2;lundi;Dissolution d’E. Poe, dinomythurge;;7 10;
HAHA;3;mardi;St Gibus, franc-maçon;;8 10;
HAHA;4;mercredi;Ste Berthe de Courrière, égérie;;9 10;
HAHA;5;jeudi;Ste Belgique, nourrice;;10 10;
HAHA;6;vendredi;Ste Tourte, lyrique et Ste Bévue, sociologue;;11 10;
HAHA;7;samedi;St Prout, abbé;;12 10;
HAHA;8;dimanche;Fête du Haha;;13 10;
HAHA;9;lundi;Tautologie;;14 10;
HAHA;10;mardi;St Panmuphle, huissier;;15 10;
HAHA;11;mercredi;Sortie de St L. Cranach, apocalyticien;;16 10;
HAHA;12;jeudi;St Cosinus, savant;;17 10;
HAHA;13;vendredi;Bse Fenouillard, sainte famille;;18 10;
HAHA;14;samedi;Exhibition de la Daromphe;;19 10;
HAHA;15;dimanche;Nativité de L’Oestre, artificier;;20 10;
HAHA;16;lundi;Ste Vadrouille, emblème;;21 10;
HAHA;17;mardi;St Homais d’Aquin, prudhomme;;22 10;
HAHA;18;mercredi;Nativité de Sa Magnificence le baron Mollet (Ste Pipe (*));;23 10;
HAHA;19;jeudi;St Raphaël (*), apéritif et philistin;;24 10;
HAHA;20;vendredi;Strangulation de Bosse-de-Nage;;25 10;
HAHA;21;samedi;Zimzoum de Bosse-de-Nage;;26 10;
HAHA;22;dimanche;Résurrection de Bosse-de-Nage;;27 10;
HAHA;23;lundi;Chapeau de Bosse-de-Nage;;28 10;
HAHA;24;mardi;St Cl. Terrasse, musicien des Phynances;;29 10;
HAHA;25;mercredi;St J.-P. Brisset, philologue, prince des penseurs;;30 10;
HAHA;26;jeudi;Commémoration du Cure-dent;;31 10;
HAHA;27;vendredi;Occultation d’Alfred Jarry;;1 11;
HAHA;28;samedi;Fuite d’Ablou;;2 11;
AS;1;dimanche;Nativité de Pantagruel;;3 11;
AS;2;lundi;Ste Rose Sélavy, héroïne;;4 11;
AS;3;mardi;Couronnement de Lord Patchogue, miroitier;;5 11;
AS;4;mercredi;St Cravan, boxeur;;6 11;
AS;5;jeudi;St Van Meegeren, faussaire;;7 11;
AS;6;vendredi;St Omnibus, satyre;;8 11;
AS;7;samedi;St Cyrano de Bergerac, explorateur;;9 11;
AS;8;dimanche;St Rimbe, oisif;;10 11;
AS;9;lundi;Équarissage pour tous;;11 11;
AS;10;mardi;St Abstrait, bourreau;;12 11;
AS;11;mercredi;St Ossian, barde postiche;;13 11;
AS;12;jeudi;Dispute du signe + et du signe -;;14 11;
AS;13;vendredi;Mousatches du Dr Faustroll;;15 11;
AS;14;samedi;St P. Bonnard, peintre des phynances;;16 11;
AS;15;dimanche;Navigation du Dr Faustroll;;17 11;
AS;16;lundi;St Cap, captain;;18 11;
AS;17;mardi;St Pangloss, humoriste passif;;19 11;
AS;18;mercredi;St Chambernac, pauvrisseur;;20 11;
AS;19;jeudi;St Courtial des Péreires, aérostier et inventeur;;21 11;
AS;20;vendredi;St Olibrius, augure;;22 11;
AS;21;samedi;St Possible, schizophrène;;23 11;
AS;22;dimanche;St Lautréamont;;24 11;
AS;23;lundi;St Quincey, critique d’art;;25 11;
AS;24;mardi;St Berbiguier, martyr;;26 11;
AS;25;mercredi;St Lewis Carroll, professeur;;27 11;
AS;26;jeudi;St Mensonger, évêque;;28 11;
AS;27;vendredi;Ste Visité, fille du précédent;;29 11;
AS;28;samedi;Nativité de St Swift, chanoine;;30 11;
SABLE;1;dimanche;Noces de Balkis et de Salomon;;1 12;
SABLE;2;lundi;St Doublemain, idéologue;;2 12;
SABLE;3;mardi;St Phlegmon, doctrinaire;;3 12;
SABLE;4;mercredi;Ste Barbe (*), femme-canon;;4 12;
SABLE;5;jeudi;Ste Savate, avocate;;5 12;
SABLE;6;vendredi;St Navet et Ste Perruque, humanistes;;6 12;
SABLE;7;samedi;St Birbe, juge;;7 12;
SABLE;8;dimanche;Conception du P. Ubu (A. J.);;8 12;
SABLE;9;lundi;St Sagouin, homme d’État;;9 12;
SABLE;10;mardi;Exaltation d’Ubu Roi (Ubu d’hiver);;10 12;
SABLE;11;mercredi;Nativité de St Grabbe, scherziste;;11 12;
SABLE;12;jeudi;Ste Choupe, mère de famille;;12 12;
SABLE;13;vendredi;St Flaive (*), concierge;;13 12;
SABLE;14;samedi;Don Quichotte, champion du monde;;14 12;
SABLE;15;dimanche;Khurmookum du Dr Faustroll;;15 12;
SABLE;16;lundi;St Nul, exempt;;16 12;
SABLE;17;mardi;St Moyen, français;;17 12;
SABLE;18;mercredi;Ste Lurette, joconde;;18 12;
SABLE;19;jeudi;Gravidité de Mère Ubu;;19 12;
SABLE;20;vendredi;St Sabre, allopathe;;20 12;
SABLE;21;samedi;Ste Tape, pompette;;21 12;
SABLE;22;dimanche;César-Antéchrist;;22 12;
SABLE;23;lundi;Ste Viole (*), vierge et martyre;;23 12;
SABLE;24;mardi;Ste Pochetée, gouvernante;;24 12;
SABLE;25;mercredi;Nativité de l’Archéoptéryx;;25 12;
SABLE;26;jeudi;Monsieur Sisyphe;;26 12;
SABLE;27;vendredi;St Tic, conjoint;;27 12;
SABLE;28;samedi;St Cervelas, penseur;;28 12;
DECERVELAGE;1;dimanche;St Alaodine, virtuose;;29 12;
DECERVELAGE;2;lundi;Sts Hassassins, praticiens;;30 12;
DECERVELAGE;3;mardi;Astu;;31 12;
DECERVELAGE;4;mercredi;Décervelage;;1 01;
DECERVELAGE;5;jeudi;Sts Giron, Pile, Cotice, palotins;;2 01;
DECERVELAGE;6;vendredi;Sts Polonais, prolétaires;;3 01;
DECERVELAGE;7;samedi;Sts Forçats, poliorcètes;;4 01;
DECERVELAGE;8;dimanche;St Bordure, capitaine;;5 01;
DECERVELAGE;9;lundi;Dormition de Jacques Vaché, interprète;;6 01;
DECERVELAGE;10;mardi;Drapaud (érection du);;7 01;
DECERVELAGE;11;mercredi;St Eustache (*), libérateur;;8 01;
DECERVELAGE;12;jeudi;St Landru, gynécologue;;9 01;
DECERVELAGE;13;vendredi;St Guillotin, médecin;;10 01;
DECERVELAGE;14;samedi;Sts 4 Sans-Cou, enchanteurs;;11 01;
DECERVELAGE;15;dimanche;Conscience d’Ubu;;12 01;
DECERVELAGE;16;lundi;St Mauvais, sujet;;13 01;
DECERVELAGE;17;mardi;St Mandrin, poète et philosophe;;14 01;
DECERVELAGE;18;mercredi;Sts Pirates et Flibustiers, thaumaturges;;15 01;
DECERVELAGE;19;jeudi;St et Ste Cartouche, vétérinaires;;16 01;
DECERVELAGE;20;vendredi;St Outlaw, aristocrate;;17 01;
DECERVELAGE;21;samedi;Chaire du Dr Faustroll;;18 01;
DECERVELAGE;22;dimanche;Ostention du Bâton à Physique;;19 01;
DECERVELAGE;23;lundi;St Tank, animal;;20 01;
DECERVELAGE;24;mardi;St Weidman, patriarche;;21 01;
DECERVELAGE;25;mercredi;St Petiot, expert;;22 01;
DECERVELAGE;26;jeudi;Escrime;;23 01;
DECERVELAGE;27;vendredi;Sts Chemins de fer, assassins;;24 01;
DECERVELAGE;28;samedi;Repopulation;;25 01;
GUEULES;1;dimanche;Dépucelage de Mère Ubu;;26 01;
GUEULES;2;lundi;St Sigisbée, eunuque;;27 01;
GUEULES;3;mardi;St Anthropoïde, policier;;28 01;
GUEULES;4;mercredi;Ste Goule (*) ou Gudule, institutrice;;29 01;
GUEULES;5;jeudi;Ste Gale, abbesse;;30 01;
GUEULES;6;vendredi;Ste Touche, postulante;;31 01;
GUEULES;7;samedi;St Gueule, abbé;;1 02;
GUEULES;8;dimanche;Fête de la Chandelle Verte;;2 02;
GUEULES;9;lundi;Ste Crêpe, laïque;;3 02;
GUEULES;10;mardi;St Préservatif, bedeau;;4 02;
GUEULES;11;mercredi;St Baobab, célibataire;;5 02;
GUEULES;12;jeudi;St Membre, compilateur;;6 02;
GUEULES;13;vendredi;Copulation;;7 02;
GUEULES;14;samedi;Nativité de St J. Verne, globe-trotteur en chambre;;8 02;
GUEULES;15;dimanche;Alice au Pays des Merveilles;;9 02;
GUEULES;16;lundi;St Münchhausen, baron;;10 02;
GUEULES;17;mardi;Le Bétrou, théurge;;11 02;
GUEULES;18;mercredi;Nativité de St Deibler, prestidigitateur;;12 02;
GUEULES;19;jeudi;St Sade ès liens;;13 02;
GUEULES;20;vendredi;St Lafleur, valet;;14 02;
GUEULES;21;samedi;Lavement;;15 02;
GUEULES;22;dimanche;St Sexe, styliste;;16 02;
GUEULES;23;lundi;Occultation de St J. Torma, euphoriste;;17 02;
GUEULES;24;mardi;Conversion de St Matorel, bateleur;;18 02;
GUEULES;25;mercredi;Ste Marmelade, inspirée;;19 02;
GUEULES;26;jeudi;L’Amour Absolu, deliquium;;20 02;
GUEULES;27;vendredi;Ste Tabagie, cosmogène;;21 02;
GUEULES;28;samedi;Sts Hylactor et Pamphagus;;22 02;
GUEULES;29;hunyadi;Mouvement Perpétuel;;;23 02
PEDALE;1;dimanche;Érection du Surmâle;;23 02;24 02
PEDALE;2;lundi;St André Marcueil, ascète cycliste;;24 02;25 02
PEDALE;3;mardi;St Ellen, hile;;25 02;26 02
PEDALE;4;mercredi;St Michet, idéaliste;;26 02;27 02
PEDALE;5;jeudi;St Ouducul, trouvère;;27 02;28 02
PEDALE;6;vendredi;Vers Belges;;28 02;29 02
PEDALE;7;samedi;St Gavroche, forain;;1 03;
PEDALE;8;dimanche;La machine à inspirer l’amour;;2 03;
PEDALE;9;lundi;St Remezy (*), évêque in partibus;;3 03;
PEDALE;10;mardi;Nativité de St Tancrède, jeune homme;;4 03;
PEDALE;11;mercredi;Testament de P. Uccello, le mal illuminé;;5 03;
PEDALE;12;jeudi;St Hari Seldon, psychohistorien galactique;;6 03;
PEDALE;13;vendredi;Ste Valburge (*), succube;;7 03;
PEDALE;14;samedi;Sabbat;;8 03;
PEDALE;15;dimanche;Sts Adelphes, ésotéristes;;9 03;
PEDALE;16;lundi;Sts Templiers, adeptes;;10 03;
PEDALE;17;mardi;St Dricarpe, prosélyte;;11 03;
PEDALE;18;mercredi;St Nosocome, carabin;;12 03;
PEDALE;19;jeudi;Ste Goutte, fête militaire;;13 03;
PEDALE;20;vendredi;Ste Cuisse, dame patronnesse;;14 03;
PEDALE;21;samedi;St Inscrit, converti;;15 03;
PEDALE;22;dimanche;St Sengle, déserteur;;16 03;
PEDALE;23;lundi;St Masquarade, uniforme;;17 03;
PEDALE;24;mardi;Nativité de St Stéphane, faune;;18 03;
PEDALE;25;mercredi;St Poligraf Poligrafovitch, chien;;19 03;
PEDALE;26;jeudi;St Pâle, mineur;;20 03;
PEDALE;27;vendredi;St Valens, frère onirique;;21 03;
PEDALE;28;samedi;Dédicace du Tripode;;22 03;
CLINAMEN;1;dimanche;St Ablou, page et St Haldern, duc;;23 03;
CLINAMEN;2;lundi;Sts Hiboux, maîtres-chanteurs;;24 03;
CLINAMEN;3;mardi;La Mandragore, solanée androïde;;25 03;
CLINAMEN;4;mercredi;St Pagne, confident;;26 03;
CLINAMEN;5;jeudi;Sts Aster et Vulpian, violateurs du Néant;;27 03;
CLINAMEN;6;vendredi;St Ganymède, professionnel;;28 03;
CLINAMEN;7;samedi;La Main de Gloire;;29 03;
CLINAMEN;8;dimanche;La Machine à Peindre;;30 03;
